name activity;path length;optionality;par path length;parallelism;strectly loopable;long loopable
O_Cancelled;0,9167;0,5;1;0,5;0;0
A_Create Application;0,1667;1;0;1;0;0
A_Submitted;0,25;0,5;0;1;0;0
A_Denied;0,5;0,5;0,2;0,1;0;0
W_Complete application;0,5;0,5;0,2;0,1667;0;1
START;0,0833;1;0;1;0;0
W_Assess potential fraud;0,3333;0,3333;0;1;1;0
A_Validating;0,75;0,5;0,8;0,1;1;0
O_Returned;0,75;0,5;0,8;0,1;0;1
O_Create Offer;0,5;0,5;0,2;0,1667;0;1
A_Incomplete;0,75;0,3333;0,8;0,1;0;1
O_Created;0,5;1;0,2;0,1;0;0
A_Concept;0,5;1;0,2;0,1;0;0
O_Sent (mail and online);0,5833;0,5;0,4;0,1667;0;1
END;1;1;0;1;0;0
W_Validate application;0,75;0,3333;0,8;0,1;1;0
O_Accepted;0,5;0,5;0,2;0,1;0;0
A_Accepted;0,5;1;0,2;0,1;0;0
A_Complete;0,6667;0,5;0,6;0,1667;0;1
W_Call incomplete files;0,75;0,3333;0,8;0,1;1;0
A_Cancelled;0,9167;0,3333;1;0,5;0;0
W_Handle leads;0,4167;0,5;0;1;1;0
A_Pending;0,8333;0,25;1;0,1429;0;1
O_Refused;0,8333;0,25;1;0,1429;0;1
